 bisection iteration 

iteration	f(Xn)	root	epsilon	error
0 0.10819513453 3.25 3.25 0.10840734641
1 0.0165918922293 3.125 0.125 0.0165926535898
2 0.0458912232728 3.1875 0.0625 0.0459073464102
3 0.0146568215905 3.15625 0.03125 0.0146573464102
4 0.000967653438782 3.140625 0.015625 0.000967653589793
5 0.0068447929613 3.1484375 0.0078125 0.00684484641021
6 0.00293859218091 3.14453125 0.00390625 0.00293859641021
7 0.000985471250699 3.142578125 0.001953125 0.000985471410207
8 8.90891020664e-06 3.1416015625 0.0009765625 8.90891020688e-06
9 0.000479372321433 3.14111328125 0.00048828125 0.000479372339793
10 0.000235231712624 3.14135742188 0.000244140625 0.000235231714793
11 0.000113161402052 3.14147949219 0.0001220703125 0.000113161402293
12 5.21262460196e-05 3.14154052734 6.103515625e-05 5.21262460431e-05
13 2.16086679166e-05 3.14157104492 3.0517578125e-05 2.16086679181e-05
14 6.3498788557e-06 3.14158630371 1.52587890625e-05 6.34987885562e-06
15 1.27951567551e-06 3.14159393311 7.62939453125e-06 1.27951567563e-06
16 2.53518159011e-06 3.14159011841 3.81469726562e-06 2.53518158999e-06
17 6.27832957301e-07 3.14159202576 1.90734863281e-06 6.27832957178e-07
18 3.25841359105e-07 3.14159297943 9.53674316406e-07 3.25841359228e-07
19 1.50995799098e-07 3.14159250259 4.76837158203e-07 1.50995798975e-07
20 8.74227800037e-08 3.14159274101 2.38418579102e-07 8.74227801262e-08
21 3.17865095471e-08 3.1415926218 1.19209289551e-07 3.17865094246e-08
22 2.78181352283e-08 3.14159268141 5.96046447754e-08 2.78181353508e-08
23 1.98418715936e-09 3.14159265161 2.98023223877e-08 1.9841870369e-09
24 1.29169740345e-08 3.14159266651 1.49011611938e-08 1.2916974157e-08
25 5.46639343756e-09 3.14159265906 7.45058059692e-09 5.46639356003e-09
26 1.7411031391e-09 3.14159265533 3.72529029846e-09 1.74110326157e-09
27 1.2154201013e-10 3.14159265347 1.86264514923e-09 1.21541887665e-10
28 8.09780564485e-10 3.1415926544 9.31322574615e-10 8.0978068695e-10

 ragular falsi iteration 

iteration	f(Xn)	root	epsilon	error
0 0.00185019935905 3.143442854 0.356557145996 0.00185020041466
1 6.11553626503e-06 3.14158653805 3.143442854 6.11553626495e-06
2 3.47754013766e-12 3.14159265359 0.141586538054 3.47766260234e-12
3 3.21624529935e-16 3.14159265359 0.00185631595093 4.4408920985e-16
4 1.22464679915e-16 3.14159265359 0.00185020041119 0.0
5 1.22464679915e-16 3.14159265359 6.11553974261e-06 0.0
6 1.22464679915e-16 3.14159265359 3.47721851313e-12 0.0
7 1.22464679915e-16 3.14159265359 3.47721851313e-12 0.0
8 1.22464679915e-16 3.14159265359 6.11553626495e-06 0.0
9 1.22464679915e-16 3.14159265359 4.4408920985e-16 0.0
10 1.22464679915e-16 3.14159265359 0.0 0.0
11 1.22464679915e-16 3.14159265359 0.0 0.0
12 1.22464679915e-16 3.14159265359 0.0 0.0
13 1.22464679915e-16 3.14159265359 0.0 0.0
