 bisection iteration 

iteration	f(Xn)	root	epsilon	error
0 0.10819513453 3.25 3.25 0.10840734641
1 0.0165918922293 3.125 0.125 0.0165926535898
2 0.0458912232728 3.1875 0.0625 0.0459073464102
3 0.0146568215905 3.15625 0.03125 0.0146573464102
4 0.000967653438782 3.140625 0.015625 0.000967653589793
5 0.0068447929613 3.1484375 0.0078125 0.00684484641021
6 0.00293859218091 3.14453125 0.00390625 0.00293859641021
7 0.000985471250699 3.142578125 0.001953125 0.000985471410207
8 8.90891020664e-06 3.1416015625 0.0009765625 8.90891020688e-06
9 0.000479372321433 3.14111328125 0.00048828125 0.000479372339793
10 0.000235231712624 3.14135742188 0.000244140625 0.000235231714793
11 0.000113161402052 3.14147949219 0.0001220703125 0.000113161402293
12 5.21262460196e-05 3.14154052734 6.103515625e-05 5.21262460431e-05
13 2.16086679166e-05 3.14157104492 3.0517578125e-05 2.16086679181e-05
14 6.3498788557e-06 3.14158630371 1.52587890625e-05 6.34987885562e-06
15 1.27951567551e-06 3.14159393311 7.62939453125e-06 1.27951567563e-06
16 2.53518159011e-06 3.14159011841 3.81469726562e-06 2.53518158999e-06
17 6.27832957301e-07 3.14159202576 1.90734863281e-06 6.27832957178e-07
18 3.25841359105e-07 3.14159297943 9.53674316406e-07 3.25841359228e-07
19 1.50995799098e-07 3.14159250259 4.76837158203e-07 1.50995798975e-07
20 8.74227800037e-08 3.14159274101 2.38418579102e-07 8.74227801262e-08
21 3.17865095471e-08 3.1415926218 1.19209289551e-07 3.17865094246e-08
22 2.78181352283e-08 3.14159268141 5.96046447754e-08 2.78181353508e-08
23 1.98418715936e-09 3.14159265161 2.98023223877e-08 1.9841870369e-09
24 1.29169740345e-08 3.14159266651 1.49011611938e-08 1.2916974157e-08
25 5.46639343756e-09 3.14159265906 7.45058059692e-09 5.46639356003e-09
26 1.7411031391e-09 3.14159265533 3.72529029846e-09 1.74110326157e-09
27 1.2154201013e-10 3.14159265347 1.86264514923e-09 1.21541887665e-10
28 8.09780564485e-10 3.1415926544 9.31322574615e-10 8.0978068695e-10
29 3.44119277178e-10 3.14159265393 4.65661287308e-10 3.44119399642e-10
30 1.11288633524e-10 3.1415926537 2.32830643654e-10 1.11288755988e-10
31 5.12668830319e-12 3.14159265358 1.16415321827e-10 5.12656583851e-12
32 5.30809726103e-11 3.14159265364 5.82076609135e-11 5.3081095075e-11
33 2.39771421535e-11 3.14159265361 2.91038304567e-11 2.39772646182e-11
34 9.42522692518e-12 3.1415926536 1.45519152284e-11 9.42534938986e-12
35 2.14926931099e-12 3.14159265359 7.27595761418e-12 2.14939177567e-12
36 1.4887094961e-12 3.14159265359 3.63797880709e-12 1.48858703142e-12
37 3.30279907449e-13 3.14159265359 1.81898940355e-12 3.30402372128e-13
38 5.79214794324e-13 3.14159265359 9.09494701773e-13 5.79092329644e-13
39 1.24467443438e-13 3.14159265359 4.54747350886e-13 1.24344978758e-13
40 1.02906232005e-13 3.14159265359 2.27373675443e-13 1.03028696685e-13
41 1.07806057163e-14 3.14159265359 1.13686837722e-13 1.06581410364e-14
42 4.60628131445e-14 3.14159265359 5.68434188608e-14 4.61852778244e-14
43 1.76411037141e-14 3.14159265359 2.84217094304e-14 1.7763568394e-14

 ragular falsi iteration 

iteration	f(Xn)	root	epsilon	error
0 0.00185019935905 3.143442854 0.356557145996 0.00185020041466
1 6.11553626503e-06 3.14158653805 3.143442854 6.11553626495e-06
2 3.47754013766e-12 3.14159265359 0.141586538054 3.47766260234e-12

 secant method 

iteration	f(Xn)	root	epsilon	error
0 0.00185019935905 3.143442854 3.143442854 0.00185020041466
1 6.11553626503e-06 3.14158653805 0.00185631595093 6.11553626495e-06
2 3.47754013766e-12 3.14159265359 6.11553974261e-06 3.47766260234e-12

 newton method 

iteration	f(Xn)	root	epsilon	error
0 0.00191176985098 3.13968088257 0.139680882574 0.00191177101552
1 4.0065365842e-05 3.14155258822 0.00187170564967 4.00653658525e-05
2 8.39633966476e-07 3.14159181396 3.92257318862e-05 8.39633966354e-07
3 1.75958755458e-08 3.14159263599 8.22038090931e-07 1.75958754234e-08
4 3.68749597864e-10 3.14159265322 1.7227125948e-08 3.68749475399e-10
5 7.72771880528e-12 3.14159265358 3.61021879058e-10 7.7275963406e-12
6 1.61770937065e-13 3.14159265359 7.56594786822e-12 1.61648472385e-13
