 bisection iteration 

iteration	f(Xn)	root	epsilon	error
0 0.00126655249201 3.25 3.25 0.10840734641
1 4.56759674127e-06 3.125 0.125 0.0165926535898
2 9.66471169165e-05 3.1875 0.0625 0.0459073464102
3 3.14861387091e-06 3.15625 0.03125 0.0146573464102
4 9.06065372207e-10 3.140625 0.015625 0.000967653589793
5 3.20686700215e-07 3.1484375 0.0078125 0.00684484641021
6 2.53756956027e-08 3.14453125 0.00390625 0.00293859641021
7 9.57043938972e-10 3.142578125 0.001953125 0.000985471410207
8 7.07088452873e-16 3.1416015625 0.0009765625 8.90891020688e-06
9 1.10158715659e-10 3.14111328125 0.00048828125 0.000479372339793
10 1.30163018534e-11 3.14135742188 0.000244140625 0.000235231714793
11 1.44908866376e-12 3.14147949219 0.0001220703125 0.000113161402293
12 1.4163459606e-13 3.14154052734 6.103515625e-05 5.21262460431e-05
13 1.00898331787e-14 3.14157104492 3.0517578125e-05 2.16086679181e-05
14 2.56033220756e-16 3.14158630371 1.52587890625e-05 6.34987885562e-06
15 2.09477234891e-18 3.14159393311 7.62939453125e-06 1.27951567563e-06
16 1.62939814425e-17 3.14159011841 3.81469726562e-06 2.53518158999e-06
17 2.47475567662e-19 3.14159202576 1.90734863281e-06 6.27832957178e-07
18 3.45954214501e-20 3.14159297943 9.53674316406e-07 3.25841359228e-07
19 3.44266365368e-21 3.14159250259 4.76837158203e-07 1.50995798975e-07
20 6.68149793019e-22 3.14159274101 2.38418579102e-07 8.74227801262e-08
21 3.21165231027e-23 3.1415926218 1.19209289551e-07 3.17865094246e-08
22 2.15270263247e-23 3.14159268141 5.96046447754e-08 2.78181353508e-08
23 7.81174223397e-27 3.14159265161 2.98023223877e-08 1.9841870369e-09
24 2.15517410229e-24 3.14159266651 1.49011611938e-08 1.2916974157e-08
25 1.63343801621e-25 3.14159265906 7.45058059692e-09 5.46639356003e-09
26 5.27804994547e-27 3.14159265533 3.72529029846e-09 1.74110326157e-09
27 1.79547451049e-30 3.14159265347 1.86264514923e-09 1.21541887665e-10
28 5.31009202075e-28 3.1415926544 9.31322574615e-10 8.0978068695e-10
29 4.07499430363e-29 3.14159265393 4.65661287308e-10 3.44119399642e-10
30 1.37832752698e-30 3.1415926537 2.32830643654e-10 1.11288755988e-10
31 1.3474440497e-34 3.14159265358 1.16415321827e-10 5.12656583851e-12
32 1.49560399211e-31 3.14159265364 5.82076609135e-11 5.3081095075e-11
33 1.3784539248e-32 3.14159265361 2.91038304567e-11 2.39772646182e-11
34 8.37289115797e-34 3.1415926536 1.45519152284e-11 9.42534938986e-12
35 9.92824561352e-36 3.14159265359 7.27595761418e-12 2.14939177567e-12
36 3.29936129905e-36 3.14159265359 3.63797880709e-12 1.48858703142e-12
37 3.60285233501e-38 3.14159265359 1.81898940355e-12 3.30402372128e-13
38 1.94320642742e-37 3.14159265359 9.09494701773e-13 5.79092329644e-13
39 1.9282676163e-39 3.14159265359 4.54747350886e-13 1.24344978758e-13
40 1.08974536207e-39 3.14159265359 2.27373675443e-13 1.03028696685e-13
41 1.25293773184e-42 3.14159265359 1.13686837722e-13 1.06581410364e-14
42 9.77352825668e-41 3.14159265359 5.68434188608e-14 4.61852778244e-14
43 5.49006213528e-42 3.14159265359 2.84217094304e-14 1.7763568394e-14
44 4.0362395979e-44 3.14159265359 1.42108547152e-14 3.5527136788e-15
45 4.96403987635e-44 3.14159265359 7.1054273576e-15 3.5527136788e-15
46 1.83667601733e-48 3.14159265359 3.5527136788e-15 0.0
47 4.52398925864e-45 3.14159265359 1.7763568394e-15 1.7763568394e-15
48 4.4895138959e-46 3.14159265359 8.881784197e-16 8.881784197e-16

 ragular falsi iteration 

iteration	f(Xn)	root	epsilon	error
0 0.00136023918966 3.0305650254 0.0305650254048 0.111027628185
1 0.000899621548402 3.04490668082 3.0305650254 0.0966859727718
2 0.000664956354206 3.05419816814 0.0143416554133 0.0873944854527
3 0.000522506815415 3.0609617851 0.0143416554133 0.0806308684899
4 0.000427100349292 3.06621290731 0.00929148731906 0.0753797462842
5 0.000358963658324 3.0704631516 0.00929148731906 0.0711295019875
6 0.000308030064692 3.07400587813 0.00676361696276 0.0675867754588
7 0.00026862846047 3.07702438369 0.00676361696276 0.0645682699046
8 0.000237320781036 3.07964049629 0.00525112220576 0.0619521572951
9 0.000211902822472 3.08193907241 0.00525112220576 0.0596535811822
10 0.000190897555087 3.08398143568 0.00425024429665 0.0576112179066
11 0.000173279043126 3.08581324437 0.00425024429665 0.0557794092206
12 0.000158313130661 3.08746934153 0.00354272652871 0.0541233120645
13 0.00014546108188 3.0889768742 0.00354272652871 0.0526157793852
14 0.000134318961975 3.0903573713 0.00301850555422 0.0512352822871
15 0.000124578206996 3.09162816966 0.00301850555422 0.0499644839323
16 0.000115999227949 3.09280341825 0.00261611260952 0.0487892353393
17 0.000108393292444 3.09389480126 0.00261611260952 0.0476978523305
18 0.0001016098113 3.09491206895 0.00229857611288 0.0466805846359
19 9.5527241958e-05 3.09586343431 0.00229857611288 0.0457292192816
20 9.00464653401e-05 3.0967558739 0.00204236327558 0.0448367796889
21 8.5085887516e-05 3.09759535938 0.00204236327558 0.0439972942055
22 8.05777653511e-05 3.09838703778 0.00183180868597 0.0432056158071
23 7.64654146315e-05 3.09913537353 0.00183180868597 0.0424572800559
24 7.27010636818e-05 3.09984426155 0.00165609715616 0.0417483920351
25 6.92441853944e-05 3.1005171181 0.00165609715616 0.0410755354926
26 6.60601881508e-05 3.1011569544 0.00150753267928 0.0404356991936
27 6.31193789881e-05 3.10176643685 0.00150753267928 0.0398262167413
28 6.03961354179e-05 3.10234793655 0.00138049709814 0.0392447170372
29 5.78682386923e-05 3.10290357037 0.00138049709814 0.0386890832165
30 5.55163331029e-05 3.1034352352 0.00127079835471 0.0381574183912
31 5.33234844832e-05 3.10394463669 0.00127079835471 0.0376480168999
32 5.12748174013e-05 3.10443331355 0.00117524859301 0.0371593400441
33 4.93572152248e-05 3.10490265809 0.00117524859301 0.0366899955034
34 4.75590707613e-05 3.10535393381 0.00109138300886 0.0362387197842
35 4.58700778425e-05 3.1057882904 0.00109138300886 0.035804363188
36 4.42810562561e-05 3.10620677671 0.00101726769454 0.0353858768777
37 4.27838039914e-05 3.10661035188 0.00101726769454 0.0349823017066
38 4.13709719778e-05 3.10699989506 0.000951365354298 0.034592758529
39 4.00359574403e-05 3.10737621382 0.000951365354298 0.0342164397668
40 3.87728127391e-05 3.10774005155 0.000892439592707 0.0338526020429
41 3.75761671451e-05 3.10809209387 0.000892439592707 0.0335005597242
42 3.64411594713e-05 3.10843297434 0.00083948548342 0.0331596792451
43 3.53633798514e-05 3.10876327949 0.00083948548342 0.0328293741013
44 3.43388192566e-05 3.10908355317 0.000791678398387 0.032509100422
45 3.33638255833e-05 3.10939430055 0.000791678398387 0.0321983530431
46 3.24350653406e-05 3.10969599157 0.000748335751184 0.0318966620157
47 3.15494901268e-05 3.1099890641 0.000748335751184 0.0316035894933
48 3.07043072145e-05 3.11027392664 0.000708888020811 0.0313187269501

 secant method 

iteration	f(Xn)	root	epsilon	error
0 0.00136023918966 3.0305650254 3.0305650254 0.111027628185
1 0.000899621548402 3.04490668082 0.0143416554133 0.0966859727718
2 0.000664956354206 3.05419816814 0.00929148731906 0.0873944854527
3 0.000522506815415 3.0609617851 0.00676361696276 0.0806308684899
4 0.000427100349292 3.06621290731 0.00525112220576 0.0753797462842
5 0.000358963658324 3.0704631516 0.00425024429665 0.0711295019875
6 0.000308030064692 3.07400587813 0.00354272652871 0.0675867754588
7 0.00026862846047 3.07702438369 0.00301850555422 0.0645682699046
8 0.000237320781036 3.07964049629 0.00261611260952 0.0619521572951
9 0.000211902822472 3.08193907241 0.00229857611288 0.0596535811822
10 0.000190897555087 3.08398143568 0.00204236327558 0.0576112179066
11 0.000173279043126 3.08581324437 0.00183180868597 0.0557794092206
12 0.000158313130661 3.08746934153 0.00165609715616 0.0541233120645
13 0.00014546108188 3.0889768742 0.00150753267928 0.0526157793852
14 0.000134318961975 3.0903573713 0.00138049709814 0.0512352822871
15 0.000124578206996 3.09162816966 0.00127079835471 0.0499644839323
16 0.000115999227949 3.09280341825 0.00117524859301 0.0487892353393
17 0.000108393292444 3.09389480126 0.00109138300886 0.0476978523305
18 0.0001016098113 3.09491206895 0.00101726769454 0.0466805846359
19 9.5527241958e-05 3.09586343431 0.000951365354298 0.0457292192816
20 9.00464653401e-05 3.0967558739 0.000892439592707 0.0448367796889
21 8.5085887516e-05 3.09759535938 0.00083948548342 0.0439972942055
22 8.05777653511e-05 3.09838703778 0.000791678398387 0.0432056158071
23 7.64654146315e-05 3.09913537353 0.000748335751184 0.0424572800559
24 7.27010636818e-05 3.09984426155 0.000708888020811 0.0417483920351
25 6.92441853944e-05 3.1005171181 0.000672856542522 0.0410755354926
26 6.60601881508e-05 3.1011569544 0.000639836299057 0.0404356991936
27 6.31193789881e-05 3.10176643685 0.000609482452245 0.0398262167413
28 6.03961354179e-05 3.10234793655 0.000581499704099 0.0392447170372
29 5.78682386923e-05 3.10290357037 0.000555633820708 0.0386890832165
30 5.55163331029e-05 3.1034352352 0.000531664825329 0.0381574183912
31 5.33234844832e-05 3.10394463669 0.000509401491314 0.0376480168999
