##Iter	TotalE	TotalM
0 -12 2 4
1 -20 0 0
2 -20 2 4
3 -20 4 16
4 -24 2 4
5 -20 4 16
6 -24 6 36
7 -24 6 36
8 -24 4 16
9 -20 6 36
10 -20 4 16
11 -20 2 4
12 -20 2 4
13 -24 4 16
14 -24 4 16
15 -28 6 36
16 -28 6 36
17 -36 8 64
18 -36 8 64
19 -40 10 100
20 -40 8 64
21 -40 8 64
22 -40 10 100
23 -40 10 100
24 -36 8 64
25 -36 10 100
26 -36 8 64
27 -36 8 64
28 -36 10 100
29 -36 12 144
30 -36 12 144
31 -36 12 144
32 -36 12 144
33 -36 12 144
34 -32 10 100
35 -32 10 100
36 -32 10 100
37 -32 10 100
38 -32 10 100
39 -32 10 100
40 -36 12 144
41 -36 12 144
42 -36 12 144
43 -36 12 144
44 -36 14 196
45 -40 16 256
46 -40 16 256
47 -40 16 256
48 -36 18 324
49 -36 16 256
50 -36 16 256
51 -36 18 324
52 -36 18 324
53 -40 20 400
54 -40 20 400
55 -44 22 484
56 -44 20 400
57 -44 18 324
58 -44 20 400
59 -40 18 324
60 -40 18 324
61 -40 18 324
62 -40 18 324
63 -40 16 256
64 -40 16 256
65 -40 18 324
66 -40 18 324
67 -36 16 256
68 -36 16 256
69 -36 18 324
70 -36 18 324
71 -36 18 324
72 -36 18 324
73 -36 18 324
74 -36 18 324
75 -36 20 400
76 -40 22 484
77 -44 24 576
78 -44 24 576
79 -44 24 576
80 -44 24 576
81 -48 26 676
82 -48 26 676
83 -48 26 676
84 -52 28 784
85 -52 30 900
86 -52 30 900
87 -52 30 900
88 -56 32 1024
89 -56 32 1024
90 -56 30 900
91 -56 30 900
92 -56 28 784
93 -56 28 784
94 -56 28 784
95 -56 28 784
96 -48 26 676
97 -48 24 576
98 -48 24 576
99 -48 22 484
100 -48 20 400
101 -48 18 324
102 -48 18 324
103 -44 20 400
104 -44 22 484
105 -40 20 400
106 -48 22 484
107 -48 20 400
108 -48 20 400
109 -52 22 484
110 -52 22 484
111 -52 22 484
112 -52 22 484
113 -52 24 576
114 -48 22 484
115 -48 22 484
116 -48 20 400
117 -52 22 484
118 -52 22 484
119 -56 24 576
120 -56 24 576
121 -56 22 484
122 -60 20 400
123 -60 20 400
124 -60 20 400
125 -60 20 400
126 -64 18 324
127 -64 18 324
128 -64 16 256
129 -64 16 256
130 -60 18 324
131 -60 18 324
132 -60 16 256
133 -60 16 256
134 -60 16 256
135 -60 14 196
136 -60 16 256
137 -60 14 196
138 -60 14 196
139 -60 16 256
140 -60 16 256
141 -60 16 256
142 -60 16 256
143 -60 16 256
144 -60 16 256
145 -60 16 256
146 -64 18 324
147 -64 18 324
148 -64 18 324
149 -64 18 324
150 -64 20 400
151 -64 20 400
152 -64 20 400
153 -64 20 400
154 -64 20 400
155 -68 22 484
156 -68 22 484
157 -68 22 484
158 -68 22 484
159 -68 22 484
160 -64 24 576
161 -64 24 576
162 -64 24 576
163 -64 26 676
164 -64 26 676
165 -64 28 784
166 -64 28 784
167 -64 28 784
168 -60 30 900
169 -60 30 900
170 -60 30 900
171 -60 30 900
172 -60 30 900
173 -60 28 784
174 -60 26 676
175 -64 28 784
176 -64 30 900
177 -64 30 900
178 -64 30 900
179 -64 30 900
180 -64 30 900
181 -64 30 900
182 -64 30 900
183 -64 30 900
184 -64 30 900
185 -64 30 900
186 -64 30 900
187 -68 28 784
188 -68 28 784
189 -68 28 784
190 -68 28 784
191 -68 28 784
192 -68 30 900
193 -68 30 900
194 -64 28 784
195 -64 28 784
196 -64 30 900
197 -64 30 900
198 -64 32 1024
199 -64 30 900
200 -60 32 1024
201 -60 32 1024
202 -60 30 900
203 -60 30 900
204 -60 30 900
205 -60 30 900
206 -64 28 784
207 -64 28 784
208 -64 28 784
209 -64 28 784
210 -60 26 676
211 -60 26 676
212 -60 26 676
213 -60 28 784
214 -60 28 784
215 -60 28 784
216 -60 28 784
217 -60 28 784
218 -60 28 784
219 -60 28 784
220 -60 28 784
221 -52 26 676
222 -52 26 676
223 -52 28 784
224 -52 28 784
225 -52 28 784
226 -56 30 900
227 -56 30 900
228 -56 30 900
229 -56 28 784
230 -56 26 676
231 -56 26 676
232 -56 26 676
233 -56 26 676
234 -56 26 676
235 -56 26 676
236 -56 26 676
237 -56 26 676
238 -56 26 676
239 -56 24 576
240 -56 24 576
241 -56 24 576
242 -56 24 576
243 -48 22 484
244 -48 22 484
245 -44 24 576
246 -44 26 676
247 -40 24 576
248 -44 26 676
249 -48 28 784
250 -44 26 676
251 -44 28 784
252 -44 28 784
253 -44 26 676
254 -44 28 784
255 -40 26 676
256 -40 26 676
257 -44 28 784
258 -44 28 784
259 -44 30 900
260 -44 28 784
261 -48 26 676
262 -48 26 676
263 -48 26 676
264 -48 26 676
265 -48 26 676
266 -48 28 784
267 -48 26 676
268 -48 26 676
269 -48 24 576
270 -52 26 676
271 -52 26 676
272 -52 26 676
273 -52 26 676
274 -44 24 576
275 -44 24 576
276 -44 24 576
277 -48 26 676
278 -48 24 576
279 -48 24 576
280 -48 24 576
281 -48 26 676
282 -48 28 784
283 -48 28 784
284 -48 28 784
285 -44 26 676
286 -44 28 784
287 -44 28 784
288 -44 28 784
289 -44 28 784
290 -44 28 784
291 -44 28 784
292 -48 30 900
293 -48 30 900
294 -48 30 900
295 -48 30 900
296 -48 30 900
297 -48 30 900
298 -48 28 784
299 -56 30 900
300 -56 30 900
301 -60 32 1024
302 -60 32 1024
303 -60 34 1156
304 -60 34 1156
305 -64 36 1296
306 -64 38 1444
307 -64 38 1444
308 -68 40 1600
309 -68 40 1600
310 -64 38 1444
311 -64 38 1444
312 -64 38 1444
313 -64 36 1296
314 -64 34 1156
315 -64 34 1156
316 -64 34 1156
317 -64 34 1156
318 -64 34 1156
319 -64 34 1156
320 -64 34 1156
321 -64 34 1156
322 -64 34 1156
323 -64 34 1156
324 -64 32 1024
325 -60 30 900
326 -60 30 900
327 -60 30 900
328 -60 30 900
329 -60 30 900
330 -64 28 784
331 -64 28 784
332 -64 28 784
333 -68 30 900
334 -68 30 900
335 -68 30 900
336 -68 28 784
337 -68 30 900
338 -68 30 900
339 -68 30 900
340 -68 30 900
341 -68 32 1024
342 -68 30 900
343 -68 30 900
344 -68 30 900
345 -68 30 900
346 -68 30 900
347 -68 28 784
348 -72 30 900
349 -72 28 784
350 -72 28 784
351 -72 28 784
352 -72 30 900
353 -72 30 900
354 -72 30 900
355 -72 30 900
356 -72 30 900
357 -72 30 900
358 -72 30 900
359 -72 30 900
360 -72 28 784
361 -72 28 784
362 -72 28 784
363 -72 28 784
364 -72 28 784
365 -76 30 900
366 -68 28 784
367 -68 28 784
368 -68 28 784
369 -68 28 784
370 -68 28 784
371 -68 28 784
372 -68 28 784
373 -68 28 784
374 -68 26 676
375 -68 26 676
376 -68 26 676
377 -68 26 676
378 -68 26 676
379 -68 26 676
380 -68 28 784
381 -68 28 784
382 -68 26 676
383 -68 24 576
384 -64 26 676
385 -64 26 676
386 -64 26 676
387 -64 28 784
388 -64 28 784
389 -64 28 784
390 -64 28 784
391 -64 28 784
392 -68 26 676
393 -64 24 576
394 -60 26 676
395 -60 26 676
396 -60 26 676
397 -60 28 784
398 -64 30 900
399 -64 30 900
400 -68 32 1024
401 -68 32 1024
402 -68 30 900
403 -68 32 1024
404 -68 30 900
405 -68 30 900
406 -68 30 900
407 -68 32 1024
408 -72 30 900
409 -68 32 1024
410 -68 32 1024
411 -72 34 1156
412 -72 34 1156
413 -72 34 1156
414 -72 34 1156
415 -72 34 1156
416 -72 34 1156
417 -72 32 1024
418 -72 32 1024
419 -72 32 1024
420 -72 34 1156
421 -68 32 1024
422 -64 30 900
423 -64 30 900
424 -64 30 900
425 -64 30 900
426 -64 30 900
427 -68 28 784
428 -68 28 784
429 -68 28 784
430 -68 26 676
431 -68 26 676
432 -68 28 784
433 -68 28 784
434 -68 28 784
435 -68 28 784
436 -68 26 676
437 -64 24 576
438 -64 24 576
439 -64 24 576
440 -64 24 576
441 -68 26 676
442 -68 24 576
443 -68 24 576
444 -68 24 576
445 -68 22 484
446 -68 22 484
447 -68 22 484
448 -68 22 484
449 -68 22 484
450 -68 24 576
451 -68 24 576
452 -68 24 576
453 -68 24 576
454 -68 24 576
455 -68 24 576
456 -68 24 576
457 -68 24 576
458 -68 26 676
459 -64 28 784
460 -60 26 676
461 -60 28 784
462 -60 28 784
463 -56 26 676
464 -52 24 576
465 -52 24 576
466 -52 22 484
467 -52 24 576
468 -52 24 576
469 -52 24 576
470 -52 22 484
471 -48 24 576
472 -48 24 576
473 -52 26 676
474 -52 26 676
475 -52 26 676
476 -52 26 676
477 -52 26 676
478 -52 28 784
479 -60 30 900
480 -60 30 900
481 -60 30 900
482 -60 30 900
483 -60 30 900
484 -60 32 1024
485 -60 34 1156
486 -60 34 1156
487 -60 34 1156
488 -60 36 1296
489 -60 36 1296
490 -60 36 1296
491 -60 36 1296
492 -60 34 1156
493 -68 36 1296
494 -68 36 1296
495 -68 36 1296
496 -68 36 1296
497 -68 36 1296
498 -68 36 1296
499 -68 36 1296
500 -68 36 1296
501 -68 36 1296
502 -68 36 1296
503 -68 34 1156
504 -68 36 1296
505 -68 36 1296
506 -64 34 1156
507 -64 34 1156
508 -64 34 1156
509 -64 36 1296
510 -64 34 1156
511 -64 34 1156
512 -64 34 1156
513 -64 32 1024
514 -64 32 1024
515 -64 30 900
516 -64 30 900
517 -64 30 900
518 -64 30 900
519 -60 28 784
520 -60 28 784
521 -60 28 784
522 -60 28 784
523 -60 28 784
524 -60 26 676
525 -60 28 784
526 -60 28 784
527 -60 28 784
528 -64 30 900
529 -64 30 900
530 -64 30 900
531 -64 30 900
532 -68 32 1024
533 -68 32 1024
534 -68 32 1024
535 -68 32 1024
536 -68 34 1156
537 -64 32 1024
538 -64 34 1156
539 -64 34 1156
540 -64 34 1156
541 -64 32 1024
542 -64 32 1024
543 -60 30 900
544 -60 28 784
545 -60 28 784
546 -60 30 900
547 -60 30 900
548 -60 30 900
549 -60 30 900
550 -60 30 900
551 -60 30 900
552 -60 30 900
553 -60 32 1024
554 -60 32 1024
555 -60 32 1024
556 -64 34 1156
557 -64 34 1156
558 -64 34 1156
559 -64 34 1156
560 -64 34 1156
561 -64 34 1156
562 -64 32 1024
563 -64 34 1156
564 -64 34 1156
565 -64 34 1156
566 -64 34 1156
567 -64 34 1156
568 -64 34 1156
569 -64 36 1296
570 -64 36 1296
571 -64 38 1444
572 -64 38 1444
573 -64 38 1444
574 -60 36 1296
575 -60 36 1296
576 -60 36 1296
577 -60 36 1296
578 -52 34 1156
579 -52 34 1156
580 -52 32 1024
581 -52 34 1156
582 -52 34 1156
583 -52 32 1024
584 -52 30 900
585 -56 32 1024
586 -60 34 1156
587 -64 36 1296
588 -64 36 1296
589 -68 38 1444
590 -68 38 1444
591 -72 40 1600
592 -72 40 1600
593 -72 40 1600
594 -72 40 1600
595 -76 42 1764
596 -76 44 1936
597 -76 44 1936
598 -76 44 1936
599 -80 46 2116
600 -80 48 2304
601 -80 48 2304
602 -80 48 2304
603 -80 48 2304
604 -80 48 2304
605 -80 48 2304
606 -80 48 2304
607 -80 48 2304
608 -80 48 2304
609 -80 50 2500
610 -80 48 2304
611 -88 50 2500
612 -88 50 2500
613 -88 52 2704
614 -88 52 2704
615 -92 54 2916
616 -92 54 2916
617 -92 54 2916
618 -92 54 2916
619 -84 52 2704
620 -84 52 2704
621 -84 52 2704
622 -84 52 2704
623 -84 52 2704
624 -84 52 2704
625 -84 52 2704
626 -84 52 2704
627 -84 52 2704
628 -84 52 2704
629 -84 52 2704
630 -92 54 2916
631 -92 54 2916
632 -92 54 2916
633 -84 52 2704
634 -84 52 2704
635 -84 52 2704
636 -76 50 2500
637 -76 50 2500
638 -76 50 2500
639 -76 50 2500
640 -80 52 2704
641 -72 50 2500
642 -72 50 2500
643 -72 50 2500
644 -72 50 2500
645 -72 50 2500
646 -72 50 2500
647 -72 50 2500
648 -80 52 2704
649 -80 52 2704
650 -80 52 2704
651 -76 50 2500
652 -76 50 2500
653 -76 50 2500
654 -68 48 2304
655 -76 50 2500
656 -76 50 2500
657 -72 48 2304
658 -64 46 2116
659 -64 46 2116
660 -64 46 2116
661 -72 48 2304
662 -64 46 2116
663 -64 46 2116
664 -72 48 2304
665 -72 48 2304
666 -68 46 2116
667 -68 46 2116
668 -68 46 2116
669 -68 46 2116
670 -64 44 1936
671 -64 44 1936
672 -64 44 1936
673 -64 44 1936
674 -64 44 1936
675 -64 44 1936
676 -60 42 1764
677 -60 42 1764
678 -60 40 1600
679 -60 40 1600
680 -60 40 1600
681 -60 40 1600
682 -64 42 1764
683 -68 44 1936
684 -68 44 1936
685 -68 44 1936
686 -68 44 1936
687 -68 44 1936
688 -68 44 1936
689 -68 44 1936
690 -68 44 1936
691 -68 44 1936
692 -68 44 1936
693 -68 44 1936
694 -76 46 2116
695 -76 46 2116
696 -76 46 2116
697 -76 46 2116
698 -76 46 2116
699 -76 46 2116
700 -80 48 2304
701 -80 48 2304
702 -80 48 2304
703 -80 48 2304
704 -80 46 2116
705 -80 46 2116
706 -80 46 2116
707 -80 44 1936
708 -80 44 1936
709 -80 44 1936
710 -80 44 1936
711 -80 44 1936
712 -80 44 1936
713 -80 44 1936
714 -80 44 1936
715 -80 44 1936
716 -80 46 2116
717 -80 46 2116
718 -84 48 2304
719 -84 48 2304
720 -84 48 2304
721 -84 48 2304
722 -84 48 2304
723 -84 48 2304
724 -84 48 2304
725 -80 46 2116
726 -76 44 1936
727 -76 44 1936
728 -76 44 1936
729 -76 44 1936
730 -76 44 1936
731 -76 44 1936
732 -76 44 1936
733 -76 44 1936
734 -80 46 2116
735 -80 46 2116
736 -80 46 2116
737 -80 46 2116
738 -80 46 2116
739 -76 44 1936
740 -76 44 1936
741 -76 44 1936
742 -76 44 1936
743 -68 42 1764
744 -68 42 1764
745 -68 44 1936
746 -68 44 1936
747 -68 44 1936
748 -68 44 1936
749 -68 44 1936
750 -68 44 1936
751 -68 44 1936
752 -68 42 1764
753 -68 42 1764
754 -68 42 1764
755 -64 40 1600
756 -64 40 1600
757 -64 40 1600
758 -64 40 1600
759 -64 40 1600
760 -64 40 1600
761 -64 42 1764
762 -64 42 1764
